code,coding_term,ACE_indicator_code,indicator_specific,indicator_1,indicator_2,domain,code_original,severity,cut_off,scale,reference_std,individual,system,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId
8030,[V]Alcohol abuse counselling and surveillance,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZV6D600,Severe,"","","",2,read,24165007,1206287010,32
30695,Harmful alcohol use,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,136T.00,Severe,"","","",2,read,198431000000105,299081000000114,17
12442,Alcohol disorder monitoring,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,66e..00,Severe,"","","",2,read,413130000,2474678017,1
8999,Heavy drinker,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,136P.00,Severe,"","","",2,read,86933000,144179014,17
4743,Alcoholic cirrhosis of liver,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,J612.00,Severe,"","","",2,read,420054005,2920441014,32
7885,Alcoholic liver damage unspecified,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,J613.00,Severe,"","","",2,read,41309000,68906017,32
9849,Referral to community alcohol team,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,8H7p.00,Severe,"","","",2,read,390857005,1484890014,40
19489,Alcohol consumption screen,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,6892.00,Mild,34,1,"",2,read,171208001,265301016,1
32964,Alcohol abuse monitoring,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,66e0.00,Severe,"","","",2,read,247721000000109,405461000000114,1
9489,Under care of community alcohol team,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9NN2.00,Severe,"","","",2,read,135827004,216585018,37
4506,Alcoholic gastritis,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,J153.00,Severe,"","","",2,read,2043009,4525015,32
94669,Alcohol consumption screening test declined,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,8IA7.00,Mild,34,1,"",2,read,428073005,2692396019,32
8430,H/O: alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,1462.00,Severe,"","","",2,read,161466001,251626014,32
6169,Alcohol dependence syndrome NOS,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E23z.00,Severe,"","","",2,read,66590003,500478011,32
5740,Acute alcoholic intoxication in alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E230.00,Severe,"","","",2,read,191802004,295127018,32
12554,Referral to community drug and alcohol team,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,8HHe.00,Severe,"","","",2,read,417096006,2549646014,40
10691,Alcoholic fatty liver,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,J610.00,Severe,"","","",2,read,50325005,83834016,32
97126,Alcohol units consumed on heaviest drinking day,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,136X.00,Mild,"",1,"",2,read,442547005,2819352010,17
32927,[X]Alcohol withdrawal-induced seizure,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10800,Severe,"","","",2,read,308742005,452061016,32
3216,Acute alcoholic hepatitis,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,J611.00,Severe,"","","",2,read,9953008,17390014,32
31443,Chronic alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E231.00,Severe,"","","",2,read,66590003,110629012,32
59873,AUDIT - Alcohol use disorders identification test,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZR1F.11,Mild,19,1,"",2,read,,,
63529,Alcohol misuse - enhanced service completed,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9k12.00,Severe,"","","",2,read,166471000000105,1154571000000110,37
12984,Very heavy drinker,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,136Q.00,Severe,"","","",2,read,228279004,342322012,17
7943,Alcoholic hepatitis,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,J617.00,Severe,"","","",2,read,235875008,353587018,32
94670,Alcohol misuse,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,136W.00,Severe,"","","",2,read,15167005,606991000000117,32
95944,Alcohol assesment declined - enhanced services admin,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9k19.00,Severe,"","","",2,read,361731000000101,681741000000116,37
96054,Extended intervention for excessive alcohol consumptn complt,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9k1B.00,Severe,"","","",2,read,366421000000103,691701000000115,37
32850,Alcohol use disorders identification test,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZR1F.00,Mild,19,1,"",2,read,,,
28780,[X]Alcohol addiction,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10211,Severe,"","","",2,read,66590003,500478011,32
9508,[X]Acute alcoholic drunkenness,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10011,Severe,"","","",2,read,25702006,43081018,32
33635,Chronic alcoholism NOS,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E231z00,Severe,"","","",2,read,66590003,110629012,32
5758,[X]Chronic alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10212,Severe,"","","",2,read,66590003,110629012,32
94553,Referral to specialist alcohol treatment service,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,8HkG.00,Severe,"","","",2,read,431260004,2768649019,40
5611,[X]Mental and behavioural disorders due to use of alcohol,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10.00,Severe,"","","",2,read,29212009,48886010,32
1476,Delirium tremens,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E010.12,Severe,"","","",2,read,8635005,15244019,32
4500,Korsakov's alcoholic psychosis,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E011000,Severe,"","","",2,read,69482004,501296014,32
94485,Alcohol screen - AUDIT PC completed,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9k18.00,Mild,15,1,"",2,read,285991000000109,493841000000113,37
18156,Alcoholics anonymous,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,13Y8.00,Severe,"","","",2,read,1099951000000107,2753901000000119,17
19217,Alcohol causing toxic effect,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,SM0..00,Severe,"","","",2,read,67426006,500729017,32
97501,Alcoh use disor id test Piccinelli consumption questionnaire,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,38D5.00,Mild,"",1,"",2,read,1087301000000103,2730501000000119,3
21650,Admitted to alcohol detoxification centre,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,8H35.00,Severe,"","","",2,read,183486001,283559019,40
8388,[V]Alcohol rehabilitation,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZV57A00,Severe,"","","",2,read,471691000000107,1001331000000118,32
18252,"Accidental poisoning by alcohol, NEC",SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,T90..00,Severe,"","",2,2,read,269765000,404332015,32
17259,"[X]Delirium tremens, alcohol induced",SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10411,Severe,"","","",2,read,8635005,15243013,32
16225,Alcohol withdrawal delirium,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E010.00,Severe,"","","",2,read,8635005,15243013,32
2925,Alcoholic polyneuropathy,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,F375.00,Severe,"","","",2,read,7916009,14104011,32
7123,[V]Personal history of alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZV11300,Severe,"","","",2,read,371422002,1196720012,17
97680,Declined referral to specialist alcohol treatment service,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,8IAJ.00,Severe,"","","",2,read,380861000000109,750531000000113,32
4915,Alcoholic cardiomyopathy,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,G555.00,Severe,"","","",2,read,83521008,138527014,32
30460,Alcoholism counselling,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Z4B1.00,Severe,"","","",2,read,,,
22277,DTs - delirium tremens,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E010.11,Severe,"","","",2,read,8635005,507053019,32
39327,[X]Mental and behav dis due to use alcohol: dependence syndr,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10200,Severe,"","","",2,read,66590003,500478011,32
24984,Alcohol-induced chronic pancreatitis,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,J671000,Severe,"","","",2,read,235952002,353698013,32
11107,Wernicke's encephalopathy,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,C253.00,Severe,"","","",2,read,21007002,35314011,32
47123,Alcohol counselling by other agencies,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9k14.00,Severe,"","","",2,read,527961000000108,1179611000000117,37
16237,Alcoholic psychoses,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E01..00,Severe,"","","",2,read,42344001,70655012,32
23945,Fetal alcohol syndrome,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,PK80.00,Severe,"","","",2,read,205788004,315571015,32
24064,Continuous chronic alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E231100,Severe,"","","",2,read,191811004,295139014,32
36748,Alcoholic encephalopathy,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,F11x011,Severe,"","","",2,read,192811002,297011014,32
17607,[X]Alcoholic psychosis NOS,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10514,Severe,"","","",2,read,42344001,70655012,32
38061,Alcohol induced hallucinations,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,1B1c.00,Severe,"","","",2,read,417633001,2549849017,27
44299,[X]Mental & behav dis due to use alcohol: acute intoxication,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10000,Severe,"","","",2,read,25702006,43081018,32
56410,Delivery of rehabilitation for alcohol addiction,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,7P22100,Severe,"","","",2,read,231161000000109,371501000000110,32
26106,Episodic chronic alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E231200,Severe,"","","",2,read,191812006,295141010,32
21879,[X]Mental and behav dis due to use of alcohol: harmful use,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10100,Severe,"","","",2,read,15167005,25750014,32
18636,Wernicke-Korsakov syndrome,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E011200,Severe,"","","",2,read,69482004,501294012,32
96107,Single alcohol screening questionnaire,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,38D2.00,Mild,"",1,"",2,read,335781000000108,622791000000112,3
17330,Alcoholic hepatic failure,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,J613000,Severe,"","","",2,read,235881000,353595019,32
8363,Oesophageal varices in alcoholic cirrhosis of the liver,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,G852300,Severe,"","","",2,read,309783001,453265010,32
29691,Aversion therapy - alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,8G32.00,Severe,"","","",2,read,183388004,283451018,32
6467,[X]Alcoholic hallucinosis,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10511,Severe,"","","",2,read,7052005,1233279015,32
84218,Disqualified from driving due to excess alcohol,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,13ZY.00,Severe,"","","",2,read,279651000000104,480271000000113,17
24485,Chronic alcoholism in remission,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E231300,Severe,"","","",2,read,191813001,295142015,32
22707,Drinking problem scale,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZRBJ.00,Mild,"",1,"",2,read,,,
11670,"[X]Korsakov's psychosis, alcohol induced",SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10611,Severe,"","","",2,read,69482004,115434017,32
41983,Alcohol detoxification,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Z191.00,Severe,"","","",2,read,,,
104611,Alcohol-induced acute pancreatitis,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,J670800,Severe,"","","",2,read,235942001,353687012,32
43193,Unspecified chronic alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E231000,Severe,"","","",2,read,66590003,110628016,32
36296,Acute alcoholic intoxication in alcoholism NOS,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E230z00,Severe,"","","",2,read,191802004,295127018,32
25110,Alcohol withdrawal hallucinosis,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E013.00,Severe,"","","",2,read,191476005,294669014,32
42305,Severity of alcohol dependence questionnaire,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZRk6.00,Mild,30,1,"",2,read,,,
10458,[V]Screening for alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZV79100,Mild,"",1,"",2,read,713107002,3288139019,32
33670,Other alcoholic psychosis,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E01y.00,Severe,"","","",2,read,42344001,70655012,32
12353,[X]Mental & behav dis due to use alcohol: psychotic disorder,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10500,Severe,"","","",2,read,42344001,70655012,32
20514,[X]Mental and behav dis due to use alcohol: withdrawal state,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10300,Severe,"","","",2,read,191480000,294674018,32
4501,Wernicke's encephalopathy,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,C251.11,Severe,"","","",2,read,21007002,35314011,32
102247,Extended interven for excessive alcohol consumption declined,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,8IAt.00,Severe,"","","",2,read,754831000000102,1660641000000118,32
100493,Five-shot questionnaire on heavy drinking,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,38Df.00,Mild,"",1,"",2,read,763106009,3700227010,3
30404,Alcoholic paranoia,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E015.00,Severe,"","","",2,read,191478006,294672019,32
31742,Alcoholic myopathy,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,F394100,Severe,"","","",2,read,19303008,32551012,32
40530,"Acute alcoholic intoxication, unspecified, in alcoholism",SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E230000,Severe,"","","",2,read,191802004,295127018,32
102770,SADQ - Severity of alcohol dependence questionnaire,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,38Dz.11,Mild,30,1,"",2,read,443504004,2839850016,32
37691,[X]Chronic alcoholic brain syndrome,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10712,Severe,"","","",2,read,191475009,294668018,32
16587,[V]Problems related to lifestyle alcohol use,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZV11311,Severe,"","","",2,read,371422002,1196720012,17
30036,"[X]Poisoning/exposure, ? intent, to alcohol",SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,U409.00,Severe,"","","",2,read,67426006,112060019,32
59574,"Acute alcoholic intoxication in remission, in alcoholism",SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E230300,Severe,"","","",2,read,191806001,295131012,32
17149,[V]Blood-alcohol and blood-drug test,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZV70L00,Mild,"",1,"",2,read,399061000000105,1003041000000113,32
7602,Chronic alcoholic hepatitis,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,J617000,Severe,"","","",2,read,307757001,451124014,32
102577,Severity of alcohol dependence questionnaire,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,38Dz.00,Mild,30,1,"",2,read,443504004,2839850016,32
21713,Alcoholic fibrosis and sclerosis of liver,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,J612000,Severe,"","","",2,read,235880004,353594015,32
30162,[X]Alcoholic paranoia,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10513,Severe,"","","",2,read,42344001,70655012,32
109108,Alcohol dependence resolved,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,2126C00,Severe,"","","",2,read,918321000000104,2358251000000115,27
65980,Alcohol use inventory,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZR1G.00,Mild,"",1,"",2,read,,,
109701,Emergency dept attendanc related to personl alcohl consumptn,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,9Nz9.00,Severe,"","","",2,read,963261000000108,2454241000000116,37
67651,Alcoholic psychosis NOS,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E01z.00,Severe,"","","",2,read,42344001,70655012,32
50507,Alcohol dependence scale,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZR1E.00,Mild,"",1,"",2,read,,,
21624,Episodic acute alcoholic intoxication in alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E230200,Severe,"","","",2,read,191805002,295130013,32
39799,[X]Mental and behav dis due to use alcohol: amnesic syndrome,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10600,Severe,"","","",2,read,73097000,121405015,32
11106,Korsakov's alcoholic psychosis with peripheral neuritis,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E011100,Severe,"","","",2,read,191471000,294662017,32
33839,Cerebellar ataxia due to alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,F144000,Severe,"","","",2,read,361272001,478046010,32
57714,Alcohol dependence with acute alcoholic intoxication,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E230.11,Severe,"","","",2,read,191802004,295126010,32
64101,[X]Men & behav dis due alcohl: withdrawl state with delirium,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,Eu10400,Severe,"","","",2,read,8635005,15243013,32
47555,Cerebral degeneration due to alcoholism,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,F11x000,Severe,"","","",2,read,192811002,297011014,32
41251,BMAST - Brief Michigan alcoholism screening test,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,ZRa1111,Mild,4,1,"",2,read,,,
57939,Pathological alcohol intoxication,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E014.00,Severe,"","","",2,read,191477001,294671014,32
20762,Alcohol amnestic syndrome,SM5,Alcohol misuse,"Alcohol misuse, severe (incl. self-report measures/units per week)",Alcohol misuse,SM,E011.00,Severe,"","","",2,read,69482004,501300010,32
